#,Name,Color,Parent,Start,Stop,Icon,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description
#,UNIX AND UNIX-LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,UNIX systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Concentrix [Alliant],#FF8585,3BSD,1984,1992.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,ConvexOS [Convex],#FF8585,3BSD,1985,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,DEMOS,#FF8585,BSD,1982,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,DesktopBSD,#FF8585,FreeBSD,2003,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,DiscoBSD,#8B0000,RetroBSD,2020.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,DragonFlyBSD,#8B0000,FreeBSD,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Dynix [Sequent Computer Systems],#FF8585,3BSD,1984,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Dynix/ptx,#FF8585,UNIX System III [AT&T],1993,2001.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,ekkoBSD,#FF8585,MirOS,2003.7,2004.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,FreeBSD,#8B0000,BSD Net/2,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,FuryBSD,#FF8585,FreeBSD,2019.10.24,2020.10.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Genix [National Semiconductor],#FF8585,3BSD,1982.1,1989.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GhostBSD,#8B0000,PC-BSD [iXsystems],2010.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,HardenedBSD,#8B0000,FreeBSD,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,helloSystem,#8B0000,FreeBSD,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,HEP-UPX [Denelcor],#FF8585,3BSD,1984,1985.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,HPBSD [HP],#FF8585,3BSD,1988.4,1993.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,jibbed,#FF8585,NetBSD,2007,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,JunOS [Juniper],#8B0000,FreeBSD,1998.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,MAXION/OS [Concurrent],#FF8585,Real Time UNIX [Concurrent],1992,1996.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,MidnightBSD,#8B0000,FreeBSD,2007.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,MirOS,#8B0000,OpenBSD,2002.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,more/BSD [mt Xinu],#FF8585,3BSD,1983.7,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,NDIX [Norsk Data],#FF8585,3BSD,1985,1987.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Net/2,#FF8585,3BSD,1991.06,1992.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
